songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Finger Poppin' Time,Hank Ballard & The Midnighters,1960,60,49,0,0.0735,0.533,0.759,0,0.315,-5.199,0.0356,159.373,0.889
Harbor Lights,The Platters,1960,60,50,0,0.913,0.26,0.29,0.000649,0.153,-13.38,0.0293,78.797,0.303
Let the Little Girl Dance,Billy Bland,1960,60,51,0,0.433,0.583,0.514,0,0.365,-9.76,0.0608,143.739,0.964
He'll Have to Stay,Jeanne Black,1960,60,52,0,0.953,0.354,0.179,0.00000254,0.114,-9.088,0.0355,166.375,0.427
Theme from The Apartment,Ferrante & Teicher,1960,60,53,0,0.884,0.383,0.275,0.941,0.146,-14.572,0.0277,95.783,0.12
Volare,Bobby Rydell,1960,60,54,0,0.596,0.498,0.648,0,0.094,-6.355,0.0339,130.014,0.904
A Million to One,Jimmy Charles,1960,60,55,0,0.72,0.285,0.199,0,0.254,-16.101,0.0328,102.838,0.454
The Village of St. Bernadette,Andy Williams,1960,60,56,0,0.855,0.173,0.266,0,0.113,-10.398,0.03,86.682,0.257
White Silver Sands,Bill Black's Combo,1960,60,57,0,0.558,0.895,0.608,0.14,0.0659,-7.224,0.0391,117.705,0.96
The Old Lamp-Lighter,Browns,1960,60,58,0,0.977,0.604,0.105,0,0.0993,-16.78,0.0357,92.238,0.553
Devil or Angel,Bobby Vee,1960,60,59,0,0.9,0.389,0.266,0,0.11,-11.791,0.0346,102.833,0.615
Down by the Station,The Four Preps,1960,60,60,0,0.324,0.754,0.442,0,0.0634,-15.178,0.0403,118.641,0.971
Forever,The Little Dippers,1960,60,61,0,0.281,0.519,0.45,0.00000612,0.152,-9.133,0.0244,72.115,0.549
Image of a Girl,The Safaris,1960,60,62,0,0.794,0.247,0.359,0,0.0699,-8.888,0.0304,185.652,0.449
Kiddio,Brook Benton,1960,60,63,0,0.838,0.778,0.29,0.00053,0.21,-12.873,0.0625,112.047,0.768
Mission Bell,Donnie Brooks,1960,60,64,0,0.552,0.566,0.355,0.0000724,0.651,-14.167,0.0324,81.851,0.728
