songname,artistname,year,decade,position,win,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Couldn't Get It Right,Climax Blues Band,1977,70,32,0,0.0234,0.727,0.641,0.0136,0.109,-11.074,0.0392,102.589,0.652
Easy,Commodores,1977,70,33,0,0.112,0.589,0.384,0.000028,0.0596,-15.075,0.0332,132.909,0.354
Right Time of the Night,Jennifer Warnes,1977,70,34,0,0.551,0.563,0.478,0,0.159,-10.149,0.024,93.684,0.749
I've Got Love on My Mind,Natalie Cole,1977,70,35,0,0.76,0.379,0.394,0.0000355,0.0501,-11.522,0.0433,206.966,0.419
Blinded by the Light,Manfred Mann's Earth Band,1977,70,36,0,0.291,0.456,0.696,0.000207,0.0853,-10,0.0653,142.156,0.508
Looks Like We Made It,Barry Manilow,1977,70,37,0,0.574,0.297,0.481,0.00352,0.094,-7.681,0.0278,139.896,0.456
So in to You,Atlanta Rhythm Section,1977,70,38,0,0.0324,0.536,0.65,0.0295,0.113,-6.963,0.0328,83.524,0.762
Dreams,Fleetwood Mac,1977,70,39,0,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151,0.789
Enjoy Yourself,The Jacksons,1977,70,40,0,0.171,0.601,0.643,0,0.536,-8.912,0.224,203.669,0.822
Dazz,Brick,1977,70,41,0,0.0697,0.722,0.778,0.00000746,0.0414,-7.931,0.0611,109.076,0.839
I'm in You,Peter Frampton,1977,70,42,0,0.147,0.33,0.494,0.00000494,0.137,-7.16,0.0278,98.478,0.143
Lucille,Kenny Rogers,1977,70,43,0,0.724,0.646,0.362,0,0.134,-11.954,0.0312,142.46,0.387
The Things We Do for Love,10cc,1977,70,44,0,0.163,0.637,0.528,0,0.122,-9.837,0.0394,106.949,0.781
Da Doo Ron Ron,Shaun Cassidy,1977,70,45,0,0.107,0.567,0.585,0,0.11,-11.553,0.0363,143.555,0.876
Handy Man,James Taylor,1977,70,46,0,0.64,0.804,0.233,0.106,0.0854,-14.17,0.0312,90.639,0.583
Just a Song Before I Go,"Crosby, Stills & Nash",1977,70,47,0,0.53,0.571,0.558,0.858,0.126,-8.285,0.0301,113.524,0.326
You and Me,Alice Cooper,1977,70,48,0,0.369,0.613,0.317,0.000288,0.0775,-16.102,0.0293,113.124,0.473
Swayin' to the Music (Slow Dancing),Johnny Rivers,1977,70,49,0,0.386,0.343,0.258,0.00000249,0.0574,-19.548,0.0313,173.999,0.534
Lonely Boy,Andrew Gold,1977,70,50,0,0.0386,0.588,0.598,0.0000583,0.107,-13.288,0.0296,123.724,0.866
I Wish,Stevie Wonder,1977,70,51,0,0.0816,0.821,0.721,0.00000737,0.0663,-10.401,0.0515,105.866,0.905
Don't Stop,Fleetwood Mac,1977,70,52,0,0.0393,0.671,0.71,0.0000112,0.0387,-7.724,0.0356,118.745,0.834
Barracuda,Heart,1977,70,53,0,0.015,0.548,0.691,0.106,0.144,-13.553,0.0369,137.145,0.667
Strawberry Letter 23,The Brothers Johnson,1977,70,54,0,0.269,0.73,0.622,0.00874,0.111,-11.7,0.0532,90.973,0.752
Night Moves,Bob Seger & The Silver Bullet Band,1977,70,55,0,0.432,0.705,0.743,0.0133,0.103,-6.631,0.042,118.552,0.374
You're My World,Helen Reddy,1977,70,56,0,0.17,0.407,0.528,0.00212,0.0987,-7.276,0.043,107.74,0.438
Heard It in a Love Song,The Marshall Tucker Band,1977,70,57,0,0.168,0.555,0.797,0.00268,0.12,-7.484,0.0389,152.87,0.683
Carry On Wayward Son,Kansas,1977,70,58,0,0.00321,0.482,0.786,0.0000888,0.446,-5.735,0.032,126.755,0.793
New Kid in Town,Eagles,1977,70,59,0,0.378,0.649,0.425,0.0013,0.108,-9.811,0.0267,107.383,0.651
My Heart Belongs to Me,Barbra Streisand,1977,70,60,0,0.743,0.274,0.209,0.00000684,0.183,-15.723,0.0328,139.316,0.297
After the Lovin',Engelbert Humperdinck,1977,70,61,0,0.59,0.218,0.549,0.0000461,0.128,-7.903,0.0353,76.867,0.351
Jet Airliner,Steve Miller Band,1977,70,62,0,0.0737,0.574,0.664,0,0.22,-11.5,0.0346,122.956,0.936
Stand Tall,Burton Cummings,1977,70,63,0,0.0243,0.463,0.396,0.0000723,0.173,-10.128,0.0304,80.753,0.365
Way Down,Elvis Presley,1977,70,64,0,0.501,0.462,0.87,0.000174,0.28,-6.554,0.076,148.304,0.507
Weekend in New England,Barry Manilow,1977,70,65,0,0.568,0.245,0.397,0.0000183,0.171,-6.997,0.0272,80.427,0.244
It Was Almost Like a Song,Ronnie Milsap,1977,70,66,0,0.323,0.327,0.281,0.00418,0.0713,-10.663,0.0276,147.72,0.151
Smoke from a Distant Fire,Sanford-Townsend Band,1977,70,67,0,0.15,0.592,0.625,0.000313,0.0804,-9.343,0.0464,136.997,0.747
Cold as Ice,Foreigner,1977,70,68,0,0.0264,0.562,0.609,0,0.17,-7.063,0.0271,130.753,0.512
Ariel,Dean Friedman,1977,70,69,0,0.329,0.675,0.564,0.0000907,0.311,-9.422,0.044,124.544,0.719
Lost Without Your Love,Bread,1977,70,70,0,0.376,0.266,0.345,0.000019,0.103,-11.484,0.0309,145.98,0.199
Star Wars Theme/Cantina Band,Meco,1977,70,71,0,0.00121,0.677,0.915,0.916,0.322,-3.859,0.0912,124.929,0.545
Float On,The Floaters,1977,70,72,0,0.255,0.59,0.718,0.00000586,0.111,-8.536,0.0275,96.552,0.868
Jeans On,David Dundas,1977,70,73,0,0.781,0.864,0.549,0.0143,0.0996,-9.741,0.0555,105.045,0.718
Lido Shuffle,Boz Scaggs,1977,70,74,0,0.0165,0.593,0.783,0.0000726,0.167,-4.716,0.0358,141.345,0.646
Keep It Comin' Love,KC and the Sunshine Band,1977,70,75,0,0.232,0.773,0.721,0.0000161,0.0349,-12.574,0.0294,110.383,0.971
You Made Me Believe in Magic,Bay City Rollers,1977,70,76,0,0.0982,0.639,0.857,0,0.4,-7.1,0.0635,126.39,0.885
Livin' Thing,Electric Light Orchestra,1977,70,77,0,0.583,0.549,0.651,0,0.121,-7.097,0.0323,122.818,0.368
Give a Little Bit,Supertramp,1977,70,78,0,0.0694,0.531,0.818,0.0096,0.263,-5.358,0.0452,90.767,0.471
That's Rock 'n' Roll,Shaun Cassidy,1977,70,79,0,0.0601,0.788,0.798,0.00151,0.11,-11.999,0.0375,129.61,0.969
Love So Right,Bee Gees,1977,70,80,0,0.345,0.575,0.405,0.0000591,0.645,-13.346,0.0279,80.983,0.558
The Rubberband Man,The Spinners,1977,70,81,0,0.74,0.801,0.446,0.038,0.0832,-14.605,0.0735,97.898,0.925
I Never Cry,Alice Cooper,1977,70,82,0,0.45,0.553,0.284,0.00000348,0.114,-15.602,0.0317,136.112,0.374
Nobody Does It Better,Carly Simon,1977,70,83,0,0.703,0.368,0.403,0.00000766,0.202,-12.699,0.0288,135.384,0.338
High School Dance,The Sylvers,1977,70,84,0,0.0577,0.891,0.909,0.0238,0.074,-10.026,0.0668,136.333,0.941
Love's Grown Deep,Kenny Nolan,1977,70,85,0,0.774,0.479,0.388,0.000189,0.541,-12.546,0.0312,130.921,0.423
Ain't Gonna Bump No More (With No Big Fat Woman),Joe Tex,1977,70,86,0,0.014,0.745,0.835,0.113,0.139,-10.961,0.0346,113.897,0.936
I Wanna Get Next to You,Rose Royce,1977,70,87,0,0.835,0.62,0.179,0.03,0.0928,-19.981,0.0314,130.864,0.675
Somebody to Love,Queen,1977,70,88,0,0.19,0.497,0.693,0,0.215,-7.024,0.0565,111.539,0.358
Muskrat Love,Captain & Tennille,1977,70,89,0,0.89,0.659,0.257,0.00014,0.252,-16.552,0.0382,102.977,0.222
Walk This Way,Aerosmith,1977,70,90,0,0.0114,0.653,0.73,0.0000103,0.0754,-10.613,0.043,108.705,0.894
Cherchez La Femme,Dr. Buzzard's Original Savannah Band,1977,70,91,0,0.00401,0.699,0.333,0,0.0607,-19.342,0.0595,115.147,0.533
Year of the Cat,Al Stewart,1977,70,92,0,0.016,0.54,0.634,0.0098,0.118,-9.165,0.0346,116.461,0.546
Boogie Nights,Heatwave,1977,70,93,0,0.169,0.629,0.615,0.0000723,0.132,-10.972,0.0433,118.805,0.673
Go Your Own Way,Fleetwood Mac,1977,70,94,0,0.0185,0.583,0.947,0.00109,0.0679,-5.12,0.0378,135.448,0.803
Sorry Seems to Be the Hardest Word,Elton John,1977,70,95,0,0.828,0.371,0.22,0.00000123,0.195,-12.797,0.0324,118.464,0.112
Don't Worry Baby,B.J. Thomas,1977,70,96,0,0.377,0.547,0.317,0,0.0798,-16.329,0.0312,118.336,0.553
"Knowing Me, Knowing You",ABBA,1977,70,97,0,0.0399,0.546,0.733,0.00000111,0.235,-7.073,0.0299,107.285,0.91
How Much Love,Leo Sayer,1977,70,98,0,0.00771,0.731,0.918,0.0000552,0.126,-6.627,0.0438,120.398,0.851
Star Wars (Main Title),London Symphony Orchestra,1977,70,99,0,0.524,0.127,0.369,0.905,0.165,-13.852,0.0392,79.541,0.192
Devil's Gun,C.J.,1977,70,100,0,0.0779,0.739,0.803,0.000888,0.29,-5.117,0.0736,125.362,0.82
You Light Up My Life,Debby Boone,1977,70,101,1,0.831,0.333,0.367,0.0000119,0.262,-10.06,0.0291,77.986,0.0685
Don't It Make My Brown Eyes Blue,Crystal Gayle,1977,70,101,1,0.799,0.736,0.321,0.00897,0.0619,-13.474,0.0444,84.928,0.342
Blue Bayou,Linda Ronstadt,1977,70,101,1,0.739,0.732,0.161,0.000379,0.105,-12.817,0.0306,95.21,0.5
Evergreen (Love Theme from A Star Is Born),Barbra Streisand,1977,70,101,1,0.932,0.335,0.303,0.0271,0.0907,-10.943,0.0315,114.224,0.186
Shadow Dancing,Andy Gibb,1978,70,1,0,0.15,0.74,0.598,0,0.0664,-9.658,0.0321,101.933,0.952
Night Fever,Bee Gees,1978,70,2,0,0.0178,0.726,0.779,0.00178,0.104,-7.057,0.0251,109.133,0.841
You Light Up My Life,Debby Boone,1978,70,3,0,0.831,0.333,0.367,0.0000119,0.262,-10.06,0.0291,77.986,0.0685
Stayin' Alive,Bee Gees,1978,70,4,1,0.0288,0.702,0.773,0.00871,0.147,-9.256,0.0343,103.564,0.953
Kiss You All Over,Exile,1978,70,5,0,0.253,0.741,0.267,0.000447,0.0987,-17.204,0.0285,102.428,0.497
How Deep Is Your Love,Bee Gees,1978,70,6,0,0.969,0.736,0.231,0.895,0.11,-9.779,0.05,114.676,0.46
Baby Come Back,Player,1978,70,7,0,0.0713,0.645,0.604,0,0.129,-9.904,0.118,156.436,0.545
(Love Is) Thicker Than Water,Andy Gibb,1978,70,8,0,0.137,0.582,0.462,0.0000498,0.0755,-9.882,0.0254,96.361,0.528
Boogie Oogie Oogie,A Taste of Honey,1978,70,9,0,0.133,0.791,0.569,0.00035,0.139,-10.372,0.0553,123.977,0.889
Three Times a Lady,Commodores,1978,70,10,0,0.874,0.39,0.0803,0.000639,0.127,-20.518,0.0306,150.503,0.184
Grease,Frankie Valli,1978,70,11,0,0.156,0.82,0.464,0,0.101,-8.45,0.0481,109.374,0.872
I Go Crazy,Paul Davis,1978,70,12,0,0.259,0.534,0.457,0.0004,0.203,-8.66,0.0266,140.798,0.271
You're the One That I Want,John Travolta & Olivia Newton-John,1978,70,13,0,0.498,0.705,0.731,0,0.225,-8.628,0.0304,108.726,0.815
Emotion,Samantha Sang,1978,70,14,0,0.76,0.52,0.364,0.0000136,0.251,-9.484,0.0427,184.244,0.716
Lay Down Sally,Eric Clapton,1978,70,15,0,0.598,0.69,0.5,0.0288,0.11,-16.145,0.0909,191.539,0.586
Miss You,The Rolling Stones,1978,70,16,0,0.443,0.795,0.71,0.0215,0.344,-4.746,0.0392,109.689,0.845
Just the Way You Are,Billy Joel,1978,70,17,2,0.703,0.589,0.453,0.0000254,0.134,-8.912,0.0397,139.148,0.513
With a Little Luck,Wings,1978,70,18,0,0.0682,0.652,0.372,0.000199,0.0923,-15.445,0.0321,111.986,0.28
If I Can't Have You,Yvonne Elliman,1978,70,19,0,0.102,0.616,0.681,0.00000147,0.296,-10.773,0.0416,109.454,0.811
"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",Chic,1978,70,20,0,0.00894,0.85,0.665,0.483,0.0885,-9.404,0.102,123.166,0.718
Feels So Good,Chuck Mangione,1978,70,21,1,0.455,0.576,0.603,0.0537,0.0406,-9.603,0.0329,103.658,0.524
Hot Child in the City,Nick Gilder,1978,70,22,0,0.0349,0.731,0.664,0.0000759,0.127,-6.995,0.0371,110.775,0.818
Love Is Like Oxygen,Sweet,1978,70,23,0,0.242,0.567,0.455,0.00000279,0.118,-9.896,0.0479,123.416,0.58
It's a Heartache,Bonnie Tyler,1978,70,24,0,0.0258,0.555,0.487,0,0.121,-11.766,0.0321,118.852,0.495
We Will Rock You/We Are the Champions,Queen,1978,70,25,0,0.15,0.254,0.521,0.00000166,0.103,-5.768,0.0374,188.934,0.135
Baker Street,Gerry Rafferty,1978,70,26,1,0.0929,0.497,0.349,0.028,0.259,-14,0.0297,113.762,0.421
Can't Smile Without You,Barry Manilow,1978,70,27,0,0.494,0.419,0.516,0.00000441,0.148,-9.937,0.0335,97.884,0.476
"Too Much, Too Little, Too Late",Johnny Mathis & Deniece Williams,1978,70,28,0,0.172,0.606,0.573,0.91,0.15,-11.599,0.0305,79.383,0.334
Dance With Me,Peter Brown,1978,70,29,0,0.117,0.912,0.42,0.000717,0.0424,-14.798,0.0507,108.53,0.9
Two Out of Three Ain't Bad,Meat Loaf,1978,70,30,0,0.385,0.586,0.48,0,0.0947,-9.138,0.0243,79.873,0.488
Jack And Jill,Raydio,1978,70,31,0,0.395,0.693,0.659,0.00485,0.133,-4.722,0.0299,106.247,0.541
Take a Chance on Me,ABBA,1978,70,32,0,0.163,0.684,0.675,0,0.242,-8.123,0.0257,107.064,0.924
Sometimes When We Touch,Dan Hill,1978,70,33,0,0.691,0.591,0.345,0.00000187,0.0851,-11.007,0.0391,119.333,0.264
Last Dance,Donna Summer,1978,70,34,0,0.131,0.341,0.721,0.00029,0.216,-10.311,0.0801,126.351,0.237
Hopelessly Devoted to You,Olivia Newton-John,1978,70,35,0,0.292,0.59,0.338,0.0131,0.121,-13.101,0.03,110.581,0.322
Hot Blooded,Foreigner,1978,70,36,0,0.229,0.705,0.806,0,0.0676,-4.83,0.0814,117.945,0.763
You're in My Heart (The Final Acclaim),Rod Stewart,1978,70,37,0,0.643,0.553,0.328,0,0.109,-10.797,0.0341,103.472,0.345
The Closer I Get to You,Roberta Flack & Donny Hathaway,1978,70,38,0,0.468,0.76,0.251,0.00505,0.0789,-13.424,0.058,127.75,0.178
Dust in the Wind,Kansas,1978,70,39,0,0.367,0.475,0.322,0.00056,0.11,-10.687,0.0283,93.503,0.387
Magnet and Steel,Walter Egan,1978,70,40,0,0.349,0.719,0.395,0.0000507,0.0716,-9.581,0.0335,113.036,0.718
Short People,Randy Newman,1978,70,41,0,0.731,0.68,0.617,0.0674,0.12,-5.849,0.0378,121.356,0.54
Use ta Be My Girl,The O'Jays,1978,70,42,0,0.528,0.65,0.614,0,0.167,-7.367,0.0522,111.477,0.872
Our Love,Natalie Cole,1978,70,43,0,0.863,0.399,0.0971,0.00000383,0.0715,-14.966,0.0285,68.897,0.135
Love Will Find a Way,Pablo Cruise,1978,70,44,0,0.00719,0.78,0.491,0.000018,0.0677,-13.934,0.0351,124.238,0.843
An Everlasting Love,Andy Gibb,1978,70,45,0,0.299,0.665,0.686,0,0.145,-6.542,0.0384,125.357,0.919
Love Is in the Air,John Paul Young,1978,70,46,0,0.0254,0.557,0.791,0.000269,0.0603,-7.201,0.0389,122.337,0.89
Goodbye Girl,David Gates,1978,70,47,0,0.605,0.467,0.255,0.00031,0.273,-15.963,0.0372,120.174,0.243
Slip Slidin' Away,Paul Simon,1978,70,48,0,0.743,0.641,0.409,0.00000258,0.118,-12.452,0.0348,121.165,0.315
The Groove Line,Heatwave,1978,70,49,0,0.0801,0.745,0.734,0.00471,0.299,-9.835,0.03,119.634,0.777
Thunder Island,Jay Ferguson,1978,70,50,0,0.00113,0.497,0.718,0.0606,0.544,-7.744,0.0275,127.79,0.792
Imaginary Lover,Atlanta Rhythm Section,1978,70,51,0,0.383,0.598,0.374,0.548,0.128,-14.085,0.0259,109.499,0.413
Still the Same,Bob Seger & The Silver Bullet Band,1978,70,52,0,0.405,0.709,0.767,0.000172,0.0592,-6.732,0.0283,115.64,0.557
My Angel Baby,Toby Beau,1978,70,53,0,0.00528,0.582,0.487,0.000113,0.0613,-8.09,0.0289,104.201,0.6
Disco Inferno,The Trammps,1978,70,54,0,0.0641,0.763,0.819,0.123,0.235,-4.78,0.036,129.288,0.911
On Broadway,George Benson,1978,70,55,0,0.205,0.77,0.319,0.000151,0.0687,-17.098,0.0579,117.232,0.863
Come Sail Away,Styx,1978,70,56,0,0.099,0.324,0.335,0.00000108,0.0995,-15.595,0.0355,119.513,0.141
(Every Time I Turn Around) Back in Love Again,L.T.D.,1978,70,57,0,0.0842,0.824,0.636,0.000381,0.47,-11.856,0.109,109.337,0.914
This Time I'm in It for Love,Player,1978,70,58,0,0.0898,0.687,0.409,0.00000721,0.0768,-11.369,0.0301,104.448,0.828
You Belong to Me,Carly Simon,1978,70,59,0,0.26,0.635,0.661,0.0000101,0.0906,-7.848,0.0471,108.975,0.857
Here You Come Again,Dolly Parton,1978,70,60,0,0.647,0.585,0.511,0.007,0.0392,-9.37,0.0391,105.898,0.552
Blue Bayou,Linda Ronstadt,1978,70,61,0,0.739,0.732,0.161,0.000379,0.105,-12.817,0.0306,95.21,0.5
Peg,Steely Dan,1978,70,62,0,0.0608,0.797,0.566,0.000362,0.14,-11.132,0.0321,116.976,0.939
You Needed Me,Anne Murray,1978,70,63,1,0.431,0.497,0.296,0,0.106,-10.756,0.0302,62.204,0.171
Shame,Evelyn Champagne King,1978,70,64,0,0.00588,0.714,0.665,0.131,0.0655,-10.948,0.0381,133.805,0.805
Reminiscing,Little River Band,1978,70,65,0,0.652,0.54,0.465,0.00544,0.132,-11.259,0.0302,94.731,0.341
Count On Me,Jefferson Starship,1978,70,66,0,0.259,0.552,0.325,0.0000127,0.453,-14.908,0.0284,111.937,0.736
Baby Hold On,Eddie Money,1978,70,67,0,0.154,0.642,0.641,0.00000123,0.0475,-12.444,0.049,120.316,0.85
Hey Deanie,Shaun Cassidy,1978,70,68,0,0.182,0.624,0.769,0.00000437,0.331,-10.718,0.028,130.184,0.96
Summer Nights,John Travolta & Olivia Newton-John,1978,70,69,0,0.00403,0.637,0.599,0.569,0.567,-9.742,0.052,126.075,0.661
What's Your Name,Lynyrd Skynyrd,1978,70,70,0,0.602,0.646,0.574,0.0000419,0.135,-9.352,0.0285,135.175,0.933
Don't It Make My Brown Eyes Blue,Crystal Gayle,1978,70,71,0,0.799,0.736,0.321,0.00897,0.0619,-13.474,0.0444,84.928,0.342
Because the Night,Patti Smith Group,1978,70,72,0,0.0542,0.466,0.763,0,0.119,-7.748,0.0391,123.539,0.473
Every Kinda People,Robert Palmer,1978,70,73,0,0.228,0.573,0.545,0.000169,0.0466,-12.636,0.0436,94.404,0.95
Copacabana,Barry Manilow,1978,70,74,0,0.333,0.606,0.899,0.000102,0.0754,-6.412,0.0758,116.735,0.66
Always and Forever,Heatwave,1978,70,75,0,0.286,0.333,0.156,0.0000232,0.151,-17.574,0.0335,71.441,0.195
You and I,Rick James,1978,70,76,0,0.297,0.782,0.874,0.00327,0.572,-6.651,0.0759,119.378,0.826
Serpentine Fire,"Earth, Wind & Fire",1978,70,77,0,0.184,0.773,0.917,0.00463,0.116,-7.333,0.037,139.872,0.946
Sentimental Lady,Bob Welch,1978,70,78,0,0.107,0.445,0.471,0,0.268,-16.218,0.0328,71.041,0.562
Falling,LeBlanc & Carr,1978,70,79,0,0.74,0.385,0.395,0.0000466,0.197,-9.332,0.0247,93.898,0.298
Don't Let Me Be Misunderstood,Santa Esmeralda,1978,70,80,0,0.0326,0.668,0.815,0.00102,0.0498,-8.998,0.0833,117.809,0.785
Bluer Than Blue,Michael Johnson,1978,70,81,0,0.599,0.356,0.251,0,0.157,-14.24,0.0307,137.875,0.395
Running on Empty,Jackson Browne,1978,70,82,0,0.0635,0.541,0.711,0.0201,0.719,-13.492,0.0383,136.58,0.588
Whenever I Call You 'Friend',Kenny Loggins & Stevie Nicks,1978,70,83,0,0.00647,0.67,0.436,0.655,0.11,-14.499,0.0304,129.494,0.617
Fool (If You Think It's Over),Chris Rea,1978,70,84,0,0.312,0.722,0.412,0.000025,0.0448,-14.3,0.0267,105.927,0.91
Get Off,Foxy,1978,70,85,0,0.00446,0.92,0.653,0.00591,0.0597,-9.638,0.0563,129.911,0.982
Sweet Talkin' Woman,Electric Light Orchestra,1978,70,86,0,0.513,0.609,0.611,0,0.093,-9.208,0.0298,121.836,0.916
Life's Been Good,Joe Walsh,1978,70,87,0,0.25,0.505,0.476,0.00915,0.113,-12.897,0.0711,99.31,0.542
I Love the Nightlife,Alicia Bridges,1978,70,88,0,0.309,0.693,0.708,0.00305,0.0857,-7.816,0.031,125.315,0.949
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy,1978,70,89,0,0.695,0.381,0.362,0,0.0863,-10.321,0.0501,183.438,0.595
It's So Easy,Linda Ronstadt,1978,70,90,0,0.0229,0.623,0.764,0,0.841,-4.686,0.0418,119.717,0.894
Native New Yorker,Odyssey,1978,70,91,0,0.0385,0.539,0.921,0.000102,0.655,-6.662,0.138,109.787,0.69
Flash Light,Parliament,1978,70,92,0,0.243,0.702,0.735,0.117,0.474,-10.458,0.0465,105.177,0.687
Don't Look Back,Boston,1978,70,93,0,0.015,0.359,0.717,0.00365,0.36,-10.309,0.0405,121.878,0.47
Turn to Stone,Electric Light Orchestra,1978,70,94,0,0.0686,0.548,0.72,0.000232,0.107,-9.777,0.0409,140.966,0.458
I Can't Stand the Rain,Eruption,1978,70,95,0,0.211,0.708,0.693,0.000515,0.162,-9.557,0.0917,108.319,0.892
Ebony Eyes,Bob Welch,1978,70,96,0,0.0101,0.698,0.676,0.0000257,0.112,-11.717,0.0277,116.486,0.961
The Name of the Game,ABBA,1978,70,97,0,0.357,0.656,0.565,0.000192,0.0629,-8.722,0.0301,77.049,0.615
We're All Alone,Rita Coolidge,1978,70,98,0,0.356,0.332,0.429,0.0000318,0.0619,-8.376,0.0287,128.073,0.239
Hollywood Nights,Bob Seger & The Silver Bullet Band,1978,70,99,0,0.00506,0.529,0.968,0.00034,0.201,-5.198,0.0503,150.326,0.751
Deacon Blues,Steely Dan,1978,70,100,0,0.437,0.75,0.58,0.000472,0.105,-12.475,0.0355,115.871,0.614
My Sharona,The Knack,1979,70,1,0,0.0589,0.586,0.7,0.00125,0.0318,-9.558,0.0363,147.245,0.897
Bad Girls,Donna Summer,1979,70,2,0,0.00387,0.857,0.7,0.0164,0.411,-14.506,0.0358,120.529,0.973
Le Freak,Chic,1979,70,3,0,0.0258,0.91,0.641,0.0000642,0.0642,-11.316,0.0589,118.533,0.903
Da Ya Think I'm Sexy?,Rod Stewart,1979,70,4,0,0.0143,0.715,0.689,0.000192,0.111,-8.065,0.029,111.504,0.852
Reunited,Peaches & Herb,1979,70,5,0,0.857,0.561,0.501,0.0106,0.135,-9.544,0.0266,75.68,0.339
I Will Survive,Gloria Gaynor,1979,70,6,1,0.0131,0.777,0.725,0.00805,0.246,-8.681,0.05,116.669,0.529
Hot Stuff,Donna Summer,1979,70,7,0,0.019,0.681,0.773,0.00000128,0.11,-5.749,0.148,119.961,0.429
Y.M.C.A.,Village People,1979,70,8,0,0.0278,0.75,0.785,0,0.0601,-10.926,0.0591,126.361,0.752
Ring My Bell,Anita Ward,1979,70,9,0,0.0661,0.781,0.556,0.0907,0.0339,-13.067,0.0611,125.999,0.968
Sad Eyes,Robert John,1979,70,10,0,0.599,0.431,0.463,0.00282,0.132,-7.342,0.0268,107.19,0.687
Too Much Heaven,Bee Gees,1979,70,11,0,0.44,0.495,0.439,0.0000888,0.725,-13.212,0.0467,165.922,0.353
MacArthur Park,Donna Summer,1979,70,12,0,0.0829,0.579,0.667,0.000605,0.0547,-12.361,0.04,131.022,0.449
When You're in Love with a Beautiful Woman,Dr. Hook,1979,70,13,0,0.405,0.679,0.728,0.00261,0.0506,-9.539,0.0378,109.623,0.852
Makin' It,David Naughton,1979,70,14,0,0.0475,0.882,0.562,0.374,0.0338,-7.67,0.0368,129.99,0.926
Fire,The Pointer Sisters,1979,70,15,0,0.201,0.65,0.615,0.00235,0.0805,-9.332,0.0342,118.294,0.637
Tragedy,Bee Gees,1979,70,16,0,0.0889,0.665,0.532,0.0109,0.296,-10.793,0.0277,117.955,0.81
A Little More Love,Olivia Newton-John,1979,70,17,0,0.0294,0.717,0.414,0.00935,0.0864,-14.855,0.0365,100.178,0.495
Heart of Glass,Blondie,1979,70,18,0,0.0539,0.77,0.654,0.00047,0.0819,-6.108,0.0361,114.82,0.685
What a Fool Believes,The Doobie Brothers,1979,70,19,2,0.284,0.758,0.378,0,0.049,-15.308,0.0449,120.736,0.985
Good Times,Chic,1979,70,20,0,0.0818,0.869,0.503,0.00837,0.187,-12.804,0.0479,112.664,0.914
You Don't Bring Me Flowers,Neil Diamond & Barbra Streisand,1979,70,21,0,0.907,0.255,0.36,0.00118,0.724,-14.548,0.0764,168.142,0.369
Knock on Wood,Amii Stewart,1979,70,22,0,0.0019,0.689,0.805,0.0000823,0.0683,-11.199,0.0429,140.791,0.914
Stumblin' In,Suzi Quatro & Chris Norman,1979,70,23,0,0.00189,0.599,0.678,0.878,0.278,-13.554,0.0283,132.647,0.58
Lead Me On,Maxine Nightingale,1979,70,24,0,0.811,0.417,0.46,0.00068,0.126,-11.07,0.0316,140.626,0.55
Shake Your Body (Down to the Ground),The Jacksons,1979,70,25,0,0.0307,0.774,0.803,0,0.347,-4.959,0.0877,117.779,0.813
Don't Cry Out Loud,Melissa Manchester,1979,70,26,0,0.226,0.409,0.521,0,0.132,-9.953,0.0335,76.82,0.278
The Logical Song,Supertramp,1979,70,27,0,0.512,0.625,0.758,0.00022,0.153,-6.213,0.0463,119.719,0.695
My Life,Billy Joel,1979,70,28,0,0.108,0.741,0.647,0.00139,0.0555,-12.878,0.0427,131.097,0.804
Just When I Needed You Most,Randy VanWarmer,1979,70,29,0,0.615,0.583,0.313,0,0.121,-14.36,0.0256,96.717,0.346
You Can't Change That,Raydio,1979,70,30,0,0.27,0.691,0.706,0,0.272,-5.983,0.115,169.722,0.892
Shake Your Groove Thing,Peaches & Herb,1979,70,31,0,0.415,0.863,0.726,0.0299,0.0735,-6.649,0.0494,132.574,0.93
I'll Never Love This Way Again,Dionne Warwick,1979,70,32,0,0.219,0.35,0.371,0,0.151,-10.538,0.0319,131.603,0.21
Love You Inside Out,Bee Gees,1979,70,33,0,0.354,0.706,0.516,0.00000419,0.205,-11.037,0.0474,94.716,0.833
I Want You to Want Me,Cheap Trick,1979,70,34,0,0.78,0.806,0.462,0.0134,0.15,-12.778,0.0298,92.726,0.736
The Main Event/Fight,Barbra Streisand,1979,70,35,0,0.0502,0.647,0.875,0,0.172,-8.503,0.0431,137.391,0.684
Mama Can't Buy You Love,Elton John,1979,70,36,0,0.524,0.529,0.432,0,0.115,-14.245,0.0333,94.382,0.555
I Was Made for Dancin',Leif Garrett,1979,70,37,0,0.0319,0.689,0.584,0.00275,0.327,-13.957,0.0314,127.132,0.837
After the Love Has Gone,"Earth, Wind & Fire",1979,70,38,1,0.532,0.424,0.443,0.000389,0.673,-13.45,0.0382,131.675,0.391
Heaven Knows,Donna Summer and Brooklyn Dreams,1979,70,39,0,0.000487,0.523,0.76,0.00401,0.332,-6.313,0.0418,131.603,0.781
